,character_ID,character_name,movie_ID,movie_title,gender
0,u0,BIANCA,m0,10 things i hate about you,F
2,u2,CAMERON,m0,10 things i hate about you,M
4,u4,JOEY,m0,10 things i hate about you,M
5,u5,KAT,m0,10 things i hate about you,F
6,u6,MANDELLA,m0,10 things i hate about you,F
7,u7,MICHAEL,m0,10 things i hate about you,M
9,u9,PATRICK,m0,10 things i hate about you,M
11,u11,WALTER,m0,10 things i hate about you,M
16,u16,COLUMBUS,m1,1492: conquest of paradise,M
19,u19,MARCHENA,m1,1492: conquest of paradise,M
26,u26,CUTLER,m2,15 minutes,M
27,u27,DAPHNE,m2,15 minutes,F
29,u29,EDDIE,m2,15 minutes,M
30,u30,EMIL,m2,15 minutes,M
34,u34,JORDY,m2,15 minutes,M
35,u35,KORFIN,m2,15 minutes,M
41,u41,NICOLETTE,m2,15 minutes,F
42,u42,OLEG,m2,15 minutes,M
50,u50,BOWMAN,m3,2001: a space odyssey,M
56,u56,HAL,m3,2001: a space odyssey,M
60,u60,POOLE,m3,2001: a space odyssey,M
67,u67,CATES,m4,48 hrs.,M
68,u68,ELAINE,m4,48 hrs.,F
71,u71,HAMMOND,m4,48 hrs.,M
78,u78,CORNELIUS,m5,the fifth element,M
84,u84,KORBEN,m5,the fifth element,M
85,u85,LEELOO,m5,the fifth element,F
100,u100,AMY,m6,8mm,F
103,u103,DINO VELVET,m6,8mm,M
105,u105,EDDIE,m6,8mm,M
106,u106,LONGDALE,m6,8mm,M
108,u108,MAX,m6,8mm,M
109,u109,MRS CHRISTIAN,m6,8mm,M
110,u110,MRS MATHEWS,m6,8mm,M
114,u114,WELLES,m6,8mm,M
115,u115,ALICE,m7,a nightmare on elm street 4: the dream master,F
116,u116,DAN,m7,a nightmare on elm street 4: the dream master,M
123,u123,ALICE,m8,a nightmare on elm street: the dream child,F
128,u128,MARK,m8,a nightmare on elm street: the dream child,M
130,u130,YVONNE,m8,a nightmare on elm street: the dream child,F
131,u131,CARL,m9,the atomic submarine,M
132,u132,DAVE,m9,the atomic submarine,M
135,u135,REEF,m9,the atomic submarine,M
139,u139,ALMA,m10,affliction,F
142,u142,JACK,m10,affliction,M
143,u143,JILL,m10,affliction,F
144,u144,LARIVIERE,m10,affliction,M
147,u147,MARGIE,m10,affliction,F
152,u152,ROLFE,m10,affliction,M
153,u153,TWOMBLEY,m10,affliction,M
154,u154,WADE,m10,affliction,M
169,u169,MARSHALL,m11,air force one,M
174,u174,SHEPHERD,m11,air force one,M
180,u180,ELAINE,m12,airplane ii: the sequel,F
191,u191,SIMON,m12,airplane ii: the sequel,M
193,u193,TED,m12,airplane ii: the sequel,M
198,u198,ELAINE,m13,airplane!,F
214,u214,STRIKER,m13,airplane!,M
218,u218,JETSON,m14,alien nation,M
224,u224,SYKES,m14,alien nation,M
229,u229,BISHOP,m15,aliens,M
230,u230,BURKE,m15,aliens,M
232,u232,HICKS,m15,aliens,M
236,u236,NEWT,m15,aliens,F
237,u237,RIPLEY,m15,aliens,F
244,u244,CAVALIERI,m16,amadeus,F
247,u247,CONSTANZE,m16,amadeus,F
251,u251,JOSEPH,m16,amadeus,M
252,u252,LEOPOLD,m16,amadeus,M
253,u253,LORL,m16,amadeus,F
255,u255,MOZART,m16,amadeus,M
257,u257,OLD SALIERI,m16,amadeus,M
260,u260,SALIERI,m16,amadeus,M
261,u261,SCHIKANEDER,m16,amadeus,M
266,u266,VOGLER,m16,amadeus,M
269,u269,ALEX,m17,an american werewolf in london,F
274,u274,DAVID,m17,an american werewolf in london,M
275,u275,DR. HIRSCH,m17,an american werewolf in london,M
276,u276,JACK,m17,an american werewolf in london,M
286,u286,CLARK,m18,american madness,M
287,u287,CLUETT,m18,american madness,M
288,u288,DICKSON,m18,american madness,M
292,u292,HELEN,m18,american madness,F
297,u297,MATT,m18,american madness,M
299,u299,MRS. DICKSON,m18,american madness,F
306,u306,BOB,m19,american outlaws,M
308,u308,COLE,m19,american outlaws,M
312,u312,FRANK,m19,american outlaws,M
313,u313,JESSE,m19,american outlaws,M
320,u320,PARKER,m19,american outlaws,M
322,u322,PINKERTON,m19,american outlaws,M
323,u323,RAINS,m19,american outlaws,M
326,u326,ZEE,m19,american outlaws,F
327,u327,BATEMAN,m20,american psycho,M
331,u331,COURTNEY,m20,american psycho,F
333,u333,ELIZABETH,m20,american psycho,F
334,u334,EVELYN,m20,american psycho,F
335,u335,HOMELESS MAN,m20,american psycho,M
336,u336,JEAN,m20,american psycho,F
337,u337,KIMBALL,m20,american psycho,M
344,u344,ALICE,m21,antitrust,F
349,u349,GARY,m21,antitrust,M
353,u353,LISA,m21,antitrust,F
354,u354,MILO,m21,antitrust,M
360,u360,ALOTTA,m22,austin powers: international man of mystery,F
362,u362,AUSTIN,m22,austin powers: international man of mystery,M
363,u363,BASIL EXPOSITION,m22,austin powers: international man of mystery,M
367,u367,DR. EVIL,m22,austin powers: international man of mystery,M
375,u375,SCOTT EVIL,m22,austin powers: international man of mystery,M
377,u377,VANESSA,m22,austin powers: international man of mystery,F
380,u380,EMMA,m23,the avengers,F
382,u382,INVISIBLE JONES,m23,the avengers,M
383,u383,MOTHER,m23,the avengers,M
387,u387,STEED,m23,the avengers,M
388,u388,VALENTINE,m23,the avengers,F
392,u392,COLE,m24,bachelor party,M
393,u393,DEBBIE,m24,bachelor party,F
403,u403,O'NEILL,m24,bachelor party,M
406,u406,RICK,m24,bachelor party,M
412,u412,BRIAN,m25,backdraft,M
416,u416,HELEN,m25,backdraft,F
417,u417,JENNIFER,m25,backdraft,F
420,u420,SHADOW,m25,backdraft,M
421,u421,STEPHEN,m25,backdraft,M
425,u425,ARIANE,m26,bad lieutenant,F
431,u431,LITE,m26,bad lieutenant,M
432,u432,LT,m26,bad lieutenant,M
439,u439,DELACROIX,m27,bamboozled,M
441,u441,DUNWITTY,m27,bamboozled,M
445,u445,JUNEBUG,m27,bamboozled,M
447,u447,MANTAN,m27,bamboozled,M
450,u450,ORCHID,m27,bamboozled,F
451,u451,SLEEP 'N EAT,m27,bamboozled,M
452,u452,SLOAN,m27,bamboozled,F
