,movie_ID,movie_title,movie_year,genres,movie_decade
0,m0,10 things i hate about you,1999,"['comedy', 'romance']",1990
1,m1,1492: conquest of paradise,1992,"['adventure', 'biography', 'drama', 'history']",1990
2,m2,15 minutes,2001,"['action', 'crime', 'drama', 'thriller']",2000
3,m3,2001: a space odyssey,1968,"['adventure', 'mystery', 'sci-fi']",1960
4,m4,48 hrs.,1982,"['action', 'comedy', 'crime', 'drama', 'thriller']",1980
5,m5,the fifth element,1997,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']",1990
6,m6,8mm,1999,"['crime', 'mystery', 'thriller']",1990
7,m7,a nightmare on elm street 4: the dream master,1988,"['fantasy', 'horror', 'thriller']",1980
8,m8,a nightmare on elm street: the dream child,1989,"['fantasy', 'horror', 'thriller']",1980
9,m9,the atomic submarine,1959,"['sci-fi', 'thriller']",1950
10,m10,affliction,1997,"['drama', 'mystery', 'thriller']",1990
11,m11,air force one,1997,"['action', 'drama', 'thriller']",1990
12,m12,airplane ii: the sequel,1982,"['comedy', 'romance', 'sci-fi']",1980
13,m13,airplane!,1980,"['comedy', 'romance']",1980
14,m14,alien nation,1988,"['crime', 'drama', 'sci-fi', 'thriller']",1980
15,m15,aliens,1986,"['action', 'sci-fi', 'thriller']",1980
16,m16,amadeus,1984,"['biography', 'drama', 'music']",1980
17,m17,an american werewolf in london,1981,"['horror', 'romance']",1980
18,m18,american madness,1932,['drama'],1930
19,m19,american outlaws,2001,"['action', 'western']",2000
20,m20,american psycho,2000,"['drama', 'thriller']",2000
21,m21,antitrust,2001,"['drama', 'thriller']",2000
22,m22,austin powers: international man of mystery,1997,"['action', 'adventure', 'comedy', 'crime']",1990
23,m23,the avengers,1998,"['action', 'adventure', 'thriller']",1990
24,m24,bachelor party,1984,"['comedy', 'romance']",1980
25,m25,backdraft,1991,"['action', 'crime', 'drama', 'mystery', 'thriller']",1990
26,m26,bad lieutenant,1992,"['crime', 'drama']",1990
27,m27,bamboozled,2000,"['comedy', 'drama', 'music']",2000
28,m28,barry lyndon,1975,"['drama', 'romance', 'war']",1970
29,m29,basic,2003,"['crime', 'drama', 'mystery', 'thriller']",2000
30,m30,big fish,2003,"['adventure', 'drama', 'fantasy']",2000
31,m31,birthday girl,2001,"['comedy', 'crime', 'romance', 'thriller']",2000
32,m32,black snake moan,2006,['drama'],2000
33,m33,black rain,1989,"['action', 'crime', 'drama', 'thriller']",1980
34,m34,blade runner,1982,"['drama', 'sci-fi', 'thriller']",1980
35,m35,blast from the past,1999,"['comedy', 'drama', 'romance']",1990
36,m36,blue velvet,1986,"['crime', 'mystery', 'thriller']",1980
37,m37,the boondock saints,1999,"['action', 'crime', 'drama', 'thriller']",1990
38,m38,bottle rocket,1996,"['comedy', 'crime']",1990
39,m39,the bourne supremacy,2004,"['action', 'adventure', 'mystery', 'thriller']",2000
40,m40,braveheart,1995,"['action', 'biography', 'drama', 'history', 'war']",1990
41,m41,the butterfly effect,2004,"['drama', 'mystery', 'sci-fi', 'thriller']",2000
42,m42,casablanca,1942,"['drama', 'romance', 'war']",1940
43,m43,cast away,2000,"['adventure', 'drama']",2000
44,m44,the cider house rules,1999,"['drama', 'romance']",1990
45,m45,confidence,2003,"['crime', 'thriller']",2000
46,m46,croupier,1998,"['crime', 'drama']",1990
47,m47,dark star,1974,"['comedy', 'sci-fi', 'thriller']",1970
48,m48,dark angel,1990,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']",1990
49,m49,detroit rock city,1999,"['comedy', 'music']",1990
50,m50,donnie darko,2001,"['drama', 'mystery', 'sci-fi']",2000
51,m51,drop dead gorgeous,1999,"['comedy', 'adult']",1990
52,m52,duck soup,1933,"['comedy', 'musical']",1930
53,m53,the elephant man,1980,"['biography', 'drama', 'history']",1980
54,m54,erik the viking,1989,"['comedy', 'adventure', 'fantasy']",1980
55,m55,eternal sunshine of the spotless mind,2004,"['drama', 'romance', 'sci-fi']",2000
56,m56,even cowgirls get the blues,1993,"['comedy', 'drama', 'romance', 'western']",1990
57,m57,event horizon,1997,"['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']",1990
58,m58,fantastic four,2005,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']",2000
59,m59,fast times at ridgemont high,1982,"['comedy', 'drama', 'romance']",1980
60,m60,fear and loathing in las vegas,1998,"['drama', 'fantasy']",1990
61,m61,feast,2005,"['action', 'comedy', 'horror', 'thriller']",2000
62,m62,frances,1982,"['biography', 'drama']",1980
63,m63,frankenstein,1931,"['drama', 'horror', 'sci-fi']",1930
64,m64,friday the 13th,2009,['horror'],2000
65,m65,from dusk till dawn,1996,"['action', 'crime', 'horror', 'thriller']",1990
66,m66,g.i. jane,1997,"['action', 'drama']",1990
67,m67,godzilla,1998,"['action', 'horror', 'sci-fi', 'thriller']",1990
68,m68,galaxy quest,1999,"['action', 'adventure', 'comedy', 'sci-fi']",1990
69,m69,george washington,2000,['drama'],2000
70,m70,get shorty,1995,"['comedy', 'crime', 'thriller']",1990
71,m71,ghost ship,2002,"['horror', 'mystery', 'thriller']",2000
72,m72,ghost world,2001,"['comedy', 'drama']",2000
73,m73,the ghost and the darkness,1996,"['adventure', 'drama', 'thriller']",1990
74,m74,ghostbusters ii,1989,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']",1980
75,m75,ghostbusters,1986,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']",1980
76,m76,gladiator,2000,"['action', 'adventure', 'drama']",2000
77,m77,the graduate,1967,"['comedy', 'drama', 'romance']",1960
78,m78,grand hotel,1932,"['drama', 'romance']",1930
79,m79,the grifters,1990,"['crime', 'drama', 'thriller']",1990
80,m80,halloween h20: 20 years later,1998,"['drama', 'horror', 'thriller']",1990
81,m81,halloween: the curse of michael myers,1995,"['horror', 'thriller']",1990
82,m82,"happy birthday, wanda june",1971,"['comedy', 'drama']",1970
83,m83,hardcore,1979,['drama'],1970
84,m84,harold and maude,1971,"['comedy', 'romance']",1970
85,m85,hellbound: hellraiser ii,1988,"['drama', 'horror', 'thriller']",1980
86,m86,hellboy,2004,"['action', 'adventure', 'fantasy']",2000
87,m87,hellraiser,1987,['horror'],1980
88,m88,high fidelity,2000,"['comedy', 'drama', 'music', 'romance']",2000
89,m89,highlander,1986,"['action', 'fantasy']",1980
90,m90,his girl friday,1940,"['comedy', 'drama', 'romance']",1940
91,m91,hope and glory,1987,"['drama', 'war']",1980
92,m92,house of 1000 corpses,2003,['horror'],2000
93,m93,human nature,2001,"['comedy', 'drama']",2000
94,m94,the hustler,1961,"['drama', 'romance', 'sport']",1960
95,m95,i am legend,2007,"['drama', 'sci-fi', 'thriller']",2000
96,m96,invaders from mars,1953,"['horror', 'sci-fi']",1950
97,m97,independence day,1996,"['action', 'adventure', 'sci-fi', 'thriller']",1990
98,m98,indiana jones and the last crusade,1989,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']",1980
99,m99,indiana jones and the temple of doom,1984,"['action', 'adventure']",1980
100,m100,innerspace,1987,"['action', 'adventure', 'comedy', 'crime', 'sci-fi']",1980
101,m101,the insider,1999,"['biography', 'drama', 'thriller']",1990
102,m102,intolerable cruelty,2003,"['comedy', 'romance', 'crime']",2000
103,m103,it happened one night,1934,"['comedy', 'romance']",1930
104,m104,jfk,1991,"['biography', 'drama', 'history', 'mystery', 'thriller']",1990
105,m105,jackie brown,1997,"['crime', 'drama', 'thriller']",1990
106,m106,jacob's ladder,1990,"['drama', 'mystery', 'thriller']",1990
107,m107,jason x,2001,"['horror', 'sci-fi']",2000
108,m108,jaws,1975,['thriller'],1970
109,m109,juno,2007,"['comedy', 'drama']",2000
110,m110,kalifornia,1993,"['crime', 'drama', 'thriller']",1990
111,m111,kids,1995,"['crime', 'drama']",1990
112,m112,knight moves,1992,"['mystery', 'thriller']",1990
113,m113,krull,1983,"['fantasy', 'action', 'adventure', 'sci-fi']",1980
114,m114,léon,1994,"['crime', 'drama', 'thriller']",1990
115,m115,labor of love,1998,[],1990
116,m116,leaving las vegas,1995,"['drama', 'romance']",1990
117,m117,legally blonde,2001,['comedy'],2000
118,m118,legend,1985,"['fantasy', 'adventure', 'romance']",1980
119,m119,life as a house,2001,"['drama', 'romance']",2000
120,m120,the life of david gale,2003,"['drama', 'crime', 'thriller']",2000
121,m121,little nicky,2000,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']",2000
122,m122,logan's run,1976,"['action', 'sci-fi']",1970
123,m123,lost highway,1997,"['drama', 'horror', 'mystery', 'thriller']",1990
124,m124,lost horizon,1937,"['adventure', 'drama', 'fantasy', 'mystery']",1930
125,m125,men in black,1997,"['action', 'adventure', 'comedy', 'sci-fi']",1990
126,m126,minority report,2002,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']",2000
127,m127,made,2001,"['comedy', 'crime', 'drama', 'thriller']",2000
128,m128,malcolm x,1992,"['biography', 'drama', 'history']",1990
129,m129,man on fire,2004,"['action', 'crime', 'drama', 'thriller']",2000
130,m130,marty,1955,"['drama', 'romance']",1950
131,m131,mash,1970,"['comedy', 'war', 'drama']",1970
132,m132,meet john doe,1941,"['comedy', 'drama', 'romance']",1940
133,m133,metro,1997,"['action', 'comedy', 'crime', 'drama', 'thriller']",1990
134,m134,metropolis,1927,"['adventure', 'drama', 'sci-fi']",1920
135,m135,mighty morphin power rangers,1994,"['action', 'family']",1990
136,m136,mobsters,1991,"['crime', 'drama']",1990
137,m137,monkeybone,2001,"['animation', 'comedy', 'fantasy', 'romance']",2000
138,m138,my mother dreams the satan's disciples in new york,1998,['short'],1990
139,m139,mr. smith goes to washington,1939,['drama'],1930
140,m140,mr. deeds goes to town,1936,"['comedy', 'romance']",1930
141,m141,mumford,1999,"['comedy', 'drama']",1990
142,m142,the mummy,1999,"['action', 'adventure', 'fantasy']",1990
143,m143,mystery men,1999,"['action', 'comedy', 'fantasy']",1990
144,m144,napoleon,1995,"['family', 'adventure']",1990
145,m145,next friday,2000,['comedy'],2000
146,m146,nick of time,1995,"['crime', 'drama', 'thriller']",1990
147,m147,the night of the hunter,1955,"['drama', 'film-noir', 'thriller']",1950
148,m148,a nightmare on elm street,1984,['horror'],1980
149,m149,ninotchka,1939,"['comedy', 'romance']",1930
150,m150,nixon,1995,"['biography', 'drama']",1990
151,m151,no country for old men,2007,"['crime', 'drama', 'mystery', 'thriller', 'western']",2000
152,m152,nurse betty,2000,"['comedy', 'crime', 'romance', 'thriller']",2000
153,m153,"o brother, where art thou?",2000,"['comedy', 'adventure', 'crime', 'music']",2000
154,m154,an officer and a gentleman,1982,"['drama', 'romance']",1980
155,m155,panic room,2002,['thriller'],2000
156,m156,panther,1995,['drama'],1990
157,m157,the patriot,2000,"['action', 'drama', 'war']",2000
158,m158,pet sematary,1989,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']",1980
159,m159,pirates of the caribbean,2003,"['adventure', 'fantasy', 'horror']",2000
160,m160,plastic man,1999,['drama'],1990
161,m161,platinum blonde,1931,"['comedy', 'romance']",1930
162,m162,pleasantville,1998,"['comedy', 'drama', 'fantasy']",1990
163,m163,punch-drunk love,2002,"['comedy', 'drama', 'romance']",2000
164,m164,quills,2000,"['biography', 'drama', 'history', 'romance']",2000
165,m165,rko 281,1999,"['biography', 'drama']",1990
166,m166,raging bull,1980,"['biography', 'drama', 'sport']",1980
167,m167,rear window,1954,"['crime', 'mystery', 'romance', 'thriller']",1950
168,m168,rebel without a cause,1955,"['drama', 'romance']",1950
169,m169,reindeer games,2000,"['action', 'crime', 'drama', 'thriller']",2000
170,m170,reservoir dogs,1992,"['crime', 'mystery', 'thriller']",1990
171,m171,roughshod,1949,"['action', 'drama', 'romance', 'western']",1940
172,m172,scary movie 2,2001,['comedy'],2000
173,m173,serial mom,1994,"['comedy', 'thriller']",1990
174,m174,the seventh victim,1943,"['drama', 'horror', 'thriller']",1940
175,m175,"sex, lies, and videotape",1989,['drama'],1980
176,m176,shivers,1975,"['horror', 'sci-fi']",1970
177,m177,shock treatment,1981,"['comedy', 'musical']",1980
178,m178,sideways,2004,"['comedy', 'drama', 'romance']",2000
179,m179,signs,2002,"['drama', 'mystery', 'sci-fi', 'thriller']",2000
180,m180,silverado,1985,"['action', 'western']",1980
181,m181,simone,2010,"['short', 'drama', 'horror', 'thriller']",2010
182,m182,the sixth sense,1999,"['drama', 'mystery', 'thriller']",1990
183,m183,slash,2002,"['comedy', 'horror', 'thriller']",2000
184,m184,slither,2006,"['comedy', 'horror', 'sci-fi']",2000
185,m185,smokey and the bandit,1977,"['action', 'comedy', 'crime', 'romance']",1970
186,m186,smokin' aces,2006,"['action', 'crime', 'drama', 'thriller']",2000
187,m187,solaris,2002,"['drama', 'mystery', 'romance', 'sci-fi']",2000
188,m188,someone to watch over me,1987,"['action', 'crime', 'drama', 'romance', 'thriller']",1980
189,m189,spider-man,2002,"['action', 'adventure', 'fantasy', 'sci-fi', 'action', 'adventure', 'sci-fi', 'thriller']",2000
190,m190,stalag 17,1953,"['drama', 'war']",1950
191,m191,star trek: generations,1994,"['action', 'mystery', 'sci-fi', 'thriller']",1990
192,m192,star trek iii: the search for spock,1984,"['action', 'adventure', 'sci-fi', 'thriller']",1980
193,m193,star trek: the wrath of khan,1982,"['action', 'adventure', 'sci-fi', 'thriller']",1980
194,m194,star trek iv: the voyage home,1986,"['adventure', 'comedy', 'sci-fi']",1980
195,m195,star trek: insurrection,1998,"['action', 'adventure', 'sci-fi', 'thriller']",1990
196,m196,star trek: first contact,1996,"['action', 'adventure', 'sci-fi', 'thriller']",1990
197,m197,star trek vi: the undiscovered country,1991,"['action', 'mystery', 'sci-fi', 'thriller']",1990
198,m198,star trek: nemesis,2002,"['action', 'sci-fi', 'thriller']",2000
199,m199,starman,1984,"['adventure', 'drama', 'romance', 'sci-fi']",1980
200,m200,strange days,1995,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']",1990
201,m201,suspect zero,2004,"['crime', 'horror', 'sci-fi', 'thriller']",2000
202,m202,swingers,1996,"['comedy', 'drama']",1990
203,m203,the godfather,1972,"['crime', 'drama', 'thriller']",1970
204,m204,the talented mr. ripley,1999,"['crime', 'drama', 'thriller']",1990
205,m205,taxi driver,1976,"['drama', 'thriller']",1970
206,m206,the rock,1996,"['action', 'adventure', 'thriller']",1990
207,m207,the majestic,2001,"['drama', 'romance']",2000
208,m208,the birds,1963,"['horror', 'romance', 'thriller']",1960
209,m209,the body snatcher,1945,"['drama', 'horror', 'thriller']",1940
